"name" "label"
"3emx" "NotGlutathionineBinding"
"1quw" "NotGlutathionineBinding"
"4knd" "NotGlutathionineBinding"
"5dbq" "NotGlutathionineBinding"
"1xfl" "NotGlutathionineBinding"
"3zij" "NotGlutathionineBinding"
"2gzy" "NotGlutathionineBinding"
"1su9" "NotGlutathionineBinding"
"3hxs" "NotGlutathionineBinding"
"2l5l" "NotGlutathionineBinding"
"4grf" "NotGlutathionineBinding"
"1jfu" "NotGlutathionineBinding"
"6ckp" "NotGlutathionineBinding"
"6esx" "NotGlutathionineBinding"
"1dby" "NotGlutathionineBinding"
"1ep7" "NotGlutathionineBinding"
"5e37" "NotGlutathionineBinding"
"5jy5" "NotGlutathionineBinding"
"3gnj" "NotGlutathionineBinding"
"6amr" "NotGlutathionineBinding"
"1xoa" "NotGlutathionineBinding"
"2vim" "NotGlutathionineBinding"
"1ert" "NotGlutathionineBinding"
"2diy" "NotGlutathionineBinding"
"2dj0" "NotGlutathionineBinding"
"1gh2" "NotGlutathionineBinding"
"3evi" "NotGlutathionineBinding"
"1pqn" "NotGlutathionineBinding"
"1wou" "NotGlutathionineBinding"
"2vm1" "NotGlutathionineBinding"
"2vlt" "NotGlutathionineBinding"
"2j23" "NotGlutathionineBinding"
"1fo5" "NotGlutathionineBinding"
"3hz4" "NotGlutathionineBinding"
"1ilo" "NotGlutathionineBinding"
"1nho" "NotGlutathionineBinding"
"2dbc" "NotGlutathionineBinding"
"4pob" "NotGlutathionineBinding"
"4wxt" "NotGlutathionineBinding"
"5vo7" "NotGlutathionineBinding"
"6ap5" "NotGlutathionineBinding"
"2i1u" "NotGlutathionineBinding"
"5cyy" "NotGlutathionineBinding"
"4tve" "NotGlutathionineBinding"
"2h30" "NotGlutathionineBinding"
"2fy6" "NotGlutathionineBinding"
"3raz" "NotGlutathionineBinding"
"2k8s" "NotGlutathionineBinding"
"2fgx" "NotGlutathionineBinding"
"1wmj" "NotGlutathionineBinding"
"3d4t" "NotGlutathionineBinding"
"1syr" "NotGlutathionineBinding"
"2av4" "NotGlutathionineBinding"
"1ti3" "NotGlutathionineBinding"
"5y1a" "NotGlutathionineBinding"
"4tw5" "NotGlutathionineBinding"
"5y4t" "NotGlutathionineBinding"
"4i8b" "NotGlutathionineBinding"
"1f9m" "NotGlutathionineBinding"
"1fb0" "NotGlutathionineBinding"
"2o7k" "NotGlutathionineBinding"
"4evm" "NotGlutathionineBinding"
"1t00" "NotGlutathionineBinding"
"3kp8" "NotGlutathionineBinding"
"4tn8" "NotGlutathionineBinding"
"2lst" "NotGlutathionineBinding"
"1v98" "NotGlutathionineBinding"
"2f51" "NotGlutathionineBinding"
"1r26" "NotGlutathionineBinding"
"4fyu" "NotGlutathionineBinding"
"4tr0" "glutathionineBinding"
"3rhb" "glutathionineBinding"
"3ic4" "glutathionineBinding"
"2klx" "glutathionineBinding"
"2khp" "glutathionineBinding"
"4i2u" "glutathionineBinding"
"3uiw" "glutathionineBinding"
"1fov" "glutathionineBinding"
"1egr" "glutathionineBinding"
"2hze" "glutathionineBinding"
"1aba" "glutathionineBinding"
"5kqa" "glutathionineBinding"
"3lgc" "glutathionineBinding"
"4rqr" "glutathionineBinding"
"2fls" "glutathionineBinding"
"3h8q" "glutathionineBinding"
"1nm3" "glutathionineBinding"
"3nzn" "glutathionineBinding"
"2lv3" "glutathionineBinding"
"1wjk" "glutathionineBinding"
"4n11" "glutathionineBinding"
"2e7p" "glutathionineBinding"
"3fz9" "glutathionineBinding"
"3ctg" "glutathionineBinding"
"2m80" "glutathionineBinding"
"5j3r" "glutathionineBinding"
"3c1s" "glutathionineBinding"
"1kte" "glutathionineBinding"
"3qmx" "glutathionineBinding"
"2myg" "glutathionineBinding"
"2mma" "glutathionineBinding"
"1yka" "glutathionineBinding"
"3zyw" "glutathionineBinding"
"2yan" "glutathionineBinding"
"2wul" "glutathionineBinding"
"2lku" "glutathionineBinding"
"3gx8" "glutathionineBinding"
"2mxn" "glutathionineBinding"
"5cax" "NotGlutathionineBinding"
"2lqo" "NotGlutathionineBinding"
"4fiw" "NotGlutathionineBinding"
"1h75" "NotGlutathionineBinding"
"4k8m" "NotGlutathionineBinding"
"1ezk" "NotGlutathionineBinding"
"1fg4" "NotGlutathionineBinding"
"3s9f" "NotGlutathionineBinding"
"1o73" "NotGlutathionineBinding"
